respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text,cleaned_text,themes,AFFORDABILITY,CHILDCARE_ACCESS,EMPLOYMENT_DISRUPTION,FOOD_INSECURITY,PROVIDER_STAFF_SHORTAGE,SCHEDULING_CONSTRAINTS,STRESS_BURNOUT
R00001,provider,2,February 2024,IL,,after_school,I am juggling second jobs because enrollment swings disrupt my own employment stability.,i am juggling second jobs because enrollment swings disrupt my own employment stability,['EMPLOYMENT_DISRUPTION'],False,False,True,False,False,False,False
R00002,provider,1,January 2024,NY,,informal,"Our center closed classrooms temporarily, so neighborhood access evaporated. We are short staffed and cannot hire assistants even after months of recruiting. I am overwhelmed balancing paperwork, families, and the classroom without relief.",our center closed classrooms temporarily so neighborhood access evaporated short staffed cannot hire assistants even after months recruiting i am overwhelmed balancing paperwork families classroom without relief,"['CHILDCARE_ACCESS', 'PROVIDER_STAFF_SHORTAGE', 'STRESS_BURNOUT']",False,True,False,False,True,False,True
R00003,household,2,February 2024,OH,30-60k,,I water down meals for the kids when food runs low after rent and child care. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping.,i water down meals kids when food runs low after rent child care stress juggling work caregiving overwhelming my mental health keeps slipping,['STRESS_BURNOUT'],False,False,False,False,False,False,True
R00004,provider,1,January 2024,NC,,informal,"Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out. I am overwhelmed balancing paperwork, families, and the classroom without relief.",food budgets program maxed out while families ask extra meals scheduling constraints force us close early when multiple people call out i am overwhelmed balancing paperwork families classroom without relief,"['FOOD_INSECURITY', 'STRESS_BURNOUT']",False,False,False,True,True,True,True
R00005,household,1,January 2024,MA,<30k,,We were told staffing shortages limit the program to part-week care.,were told staffing shortages limit program part week care,[],False,False,False,True,False,False,False
R00006,provider,2,February 2024,WA,,center,"Managing constant schedule changes with too few people is crushing my mental health. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Keeping care affordable while paying staff fairly is nearly impossible.",managing constant schedule changes too few people crushing my mental health families tell me they face food insecurity set up snack pantries classroom keeping care affordable while paying staff fairly nearly impossible,"['AFFORDABILITY', 'FOOD_INSECURITY', 'SCHEDULING_CONSTRAINTS', 'STRESS_BURNOUT']",True,False,False,True,False,True,True
R00007,household,2,February 2024,MI,30-60k,,"I miss work every time care falls through, and my employer is losing patience. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.",i miss work every time care falls through my employer losing patience my partner i exhausted constantly anxious about childcare collapsing last minute coordinating schedules my partner provider weekly puzzle rarely solve,"['EMPLOYMENT_DISRUPTION', 'SCHEDULING_CONSTRAINTS', 'STRESS_BURNOUT']",False,False,True,False,False,True,True
R00008,provider,3,March 2024,GA,,center,"Assistants quit when schedules change, so my employment feels precarious too.",assistants quit when schedules change so my employment feels precarious too,"['EMPLOYMENT_DISRUPTION', 'SCHEDULING_CONSTRAINTS']",False,False,True,False,False,True,False
R00009,household,1,January 2024,OH,60-100k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,['SCHEDULING_CONSTRAINTS'],False,False,False,False,False,True,False
R00010,provider,1,January 2024,OH,,family_home,Staff and I are emotionally drained; burnout is spreading across the team. Operating costs skyrocket but families cannot absorb more tuition.,staff i emotionally drained burnout spreading across team operating costs skyrocket but families cannot absorb more tuition,['AFFORDABILITY'],True,False,False,False,False,False,False
R00011,provider,2,February 2024,MA,,family_home,"No substitutes are available, so I cover multiple classrooms daily.",no substitutes available so i cover multiple classrooms daily,['PROVIDER_STAFF_SHORTAGE'],False,True,False,False,True,False,False
R00012,household,2,February 2024,AZ,30-60k,,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work.",i feel burned out every week trying cover shifts still present parent childcare remains unaffordable forcing us take turns missing work,"['AFFORDABILITY', 'EMPLOYMENT_DISRUPTION', 'STRESS_BURNOUT']",True,False,True,False,False,False,True
R00013,household,1,January 2024,WA,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps.",our center says classrooms merge because staff shortages leaving fewer hours i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps,"['EMPLOYMENT_DISRUPTION', 'SCHEDULING_CONSTRAINTS', 'STRESS_BURNOUT']",False,False,True,True,False,False,True
R00014,household,2,February 2024,OH,60-100k,,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,"['CHILDCARE_ACCESS', 'EMPLOYMENT_DISRUPTION', 'SCHEDULING_CONSTRAINTS']",False,True,False,False,False,True,False
R00015,household,1,January 2024,AZ,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks.",finding after school care battle every semester options keep shrinking i miss work every time care falls through my employer losing patience food insecurity creeping back rely pantry between paychecks,"['CHILDCARE_ACCESS', 'EMPLOYMENT_DISRUPTION', 'FOOD_INSECURITY']",False,True,True,True,True,False,False
R00016,household,3,March 2024,CA,30-60k,,My hours were cut after too many schedule changes driven by childcare gaps. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,my hours were cut after too many schedule changes driven childcare gaps coordinating schedules my partner provider weekly puzzle rarely solve,['SCHEDULING_CONSTRAINTS'],False,False,False,True,False,True,False
R00017,household,1,January 2024,FL,>100k,,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work i miss work every time care falls through my employer losing patience finding after school care battle every semester options keep shrinking,"['AFFORDABILITY', 'CHILDCARE_ACCESS', 'EMPLOYMENT_DISRUPTION']",True,True,True,False,False,False,False
R00018,provider,3,March 2024,IL,,center,Managing constant schedule changes with too few people is crushing my mental health.,managing constant schedule changes too few people crushing my mental health,"['SCHEDULING_CONSTRAINTS', 'STRESS_BURNOUT']",True,True,False,False,False,True,True
R00019,household,3,March 2024,NJ,30-60k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,['SCHEDULING_CONSTRAINTS'],False,False,False,False,False,True,False
R00020,household,2,February 2024,PA,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps.",my split shift schedule never aligns center s hours so coverage falls apart my hours were cut after too many schedule changes driven childcare gaps,"['EMPLOYMENT_DISRUPTION', 'SCHEDULING_CONSTRAINTS']",False,False,True,False,False,True,False
R00021,household,1,January 2024,NJ,<30k,,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible.",i miss work every time care falls through my employer losing patience stress juggling work caregiving overwhelming my mental health keeps slipping no slots open when my shifts change so reliable childcare access feels impossible,"['CHILDCARE_ACCESS', 'EMPLOYMENT_DISRUPTION', 'STRESS_BURNOUT']",False,True,True,False,False,False,True
