theme,frame,wave,state,quote
AFFORDABILITY,household,1,TX,"We cannot afford reliable care when costs rise faster than wages. Our center says classrooms merge because of staff shortages, leaving fewer hours."
AFFORDABILITY,household,2,CA,"Finding after-school care is a battle every semester, and options keep shrinking. Tuition and fees are too expensive; every increase means cutting groceries. My hours were cut after too many schedule changes driven by childcare gaps."
AFFORDABILITY,household,2,PA,Tuition and fees are too expensive; every increase means cutting groceries.
AFFORDABILITY,household,3,CO,"Our center says classrooms merge because of staff shortages, leaving fewer hours. We cannot afford reliable care when costs rise faster than wages."
AFFORDABILITY,household,3,IL,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Our center says classrooms merge because of staff shortages, leaving fewer hours. We cannot afford reliable care when costs rise faster than wages."
CHILDCARE_ACCESS,household,1,CA,"Tuition and fees are too expensive; every increase means cutting groceries. Finding after-school care is a battle every semester, and options keep shrinking."
CHILDCARE_ACCESS,household,2,CT,"We have been on a childcare waitlist for months after our center closed. Our center says classrooms merge because of staff shortages, leaving fewer hours. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
CHILDCARE_ACCESS,household,2,FL,"I feel burned out every week trying to cover shifts and still be a present parent. No slots open when my shifts change, so reliable childcare access feels impossible. I miss work every time care falls through, and my employer is losing patience."
CHILDCARE_ACCESS,household,3,NJ,"Finding after-school care is a battle every semester, and options keep shrinking. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. Employment keeps getting disrupted when I have to leave early for pickups."
CHILDCARE_ACCESS,provider,3,NC,"Affordability pressures mean delays in payments and tighter margins for the program. Our center closed classrooms temporarily, so neighborhood access evaporated."
EMPLOYMENT_DISRUPTION,household,1,CO,I feel burned out every week trying to cover shifts and still be a present parent. Tuition and fees are too expensive; every increase means cutting groceries.
EMPLOYMENT_DISRUPTION,household,1,MI,"Finding after-school care is a battle every semester, and options keep shrinking. Employment keeps getting disrupted when I have to leave early for pickups."
EMPLOYMENT_DISRUPTION,household,2,CT,"We cannot afford reliable care when costs rise faster than wages. No slots open when my shifts change, so reliable childcare access feels impossible. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve."
EMPLOYMENT_DISRUPTION,household,3,NC,I feel burned out every week trying to cover shifts and still be a present parent. We stretch groceries and sometimes skip meals so tuition can stay current. Short staffing means inconsistent caregivers and unpredictable schedules for us.
EMPLOYMENT_DISRUPTION,provider,1,GA,"I field calls daily from parents desperate for openings we just do not have. Assistants quit when schedules change, so my employment feels precarious too. Affordability pressures mean delays in payments and tighter margins for the program."
FOOD_INSECURITY,household,1,AL,Tuition and fees are too expensive; every increase means cutting groceries. We have been on a childcare waitlist for months after our center closed. We were told staffing shortages limit the program to part-week care.
FOOD_INSECURITY,household,1,OH,We stretch groceries and sometimes skip meals so tuition can stay current. I feel burned out every week trying to cover shifts and still be a present parent.
FOOD_INSECURITY,household,2,MI,"Food insecurity is creeping back—we rely on the pantry between paychecks. I miss work every time care falls through, and my employer is losing patience. We have been on a childcare waitlist for months after our center closed."
FOOD_INSECURITY,household,3,WA,"My split shift schedule never aligns with the center's hours, so coverage falls apart. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. We stretch groceries and sometimes skip meals so tuition can stay current."
