frame,wave,theme,metric,group,estimate,n
provider,1,AFFORDABILITY,stress_score_mean,theme_absent,20.748258236758552,165
provider,1,AFFORDABILITY,stress_score_mean,theme_present,18.70622282257286,76
provider,2,AFFORDABILITY,stress_score_mean,theme_absent,20.537045665017295,161
provider,2,AFFORDABILITY,stress_score_mean,theme_present,19.84960952811211,67
provider,3,AFFORDABILITY,stress_score_mean,theme_absent,20.268675254011757,161
provider,3,AFFORDABILITY,stress_score_mean,theme_present,18.986296985628137,64
household,1,AFFORDABILITY,stress_score_mean,theme_absent,21.06600094147284,293
household,1,AFFORDABILITY,stress_score_mean,theme_present,20.01616143434761,176
household,2,AFFORDABILITY,stress_score_mean,theme_absent,20.99023818740131,274
household,2,AFFORDABILITY,stress_score_mean,theme_present,20.477758140684383,164
household,3,AFFORDABILITY,stress_score_mean,theme_absent,21.01444832869431,266
household,3,AFFORDABILITY,stress_score_mean,theme_present,19.204128894424787,133
provider,1,AFFORDABILITY,food_insecurity_rate,theme_absent,0.2,165
provider,1,AFFORDABILITY,food_insecurity_rate,theme_present,0.35526315789473684,76
provider,2,AFFORDABILITY,food_insecurity_rate,theme_absent,0.22981366459627328,161
provider,2,AFFORDABILITY,food_insecurity_rate,theme_present,0.47761194029850745,67
provider,3,AFFORDABILITY,food_insecurity_rate,theme_absent,0.22981366459627328,161
provider,3,AFFORDABILITY,food_insecurity_rate,theme_present,0.515625,64
household,1,AFFORDABILITY,food_insecurity_rate,theme_absent,0.18088737201365188,293
household,1,AFFORDABILITY,food_insecurity_rate,theme_present,0.5340909090909091,176
household,2,AFFORDABILITY,food_insecurity_rate,theme_absent,0.20802919708029197,274
household,2,AFFORDABILITY,food_insecurity_rate,theme_present,0.47560975609756095,164
household,3,AFFORDABILITY,food_insecurity_rate,theme_absent,0.19548872180451127,266
household,3,AFFORDABILITY,food_insecurity_rate,theme_present,0.518796992481203,133
provider,1,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.34545454545454546,165
provider,1,AFFORDABILITY,closure_risk_high_rate,theme_present,0.3026315789473684,76
provider,2,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.2608695652173913,161
provider,2,AFFORDABILITY,closure_risk_high_rate,theme_present,0.23880597014925373,67
provider,3,AFFORDABILITY,closure_risk_high_rate,theme_absent,0.2981366459627329,161
provider,3,AFFORDABILITY,closure_risk_high_rate,theme_present,0.328125,64
provider,1,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.136584439920053,219
provider,1,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.782888692645752,22
provider,2,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.70504815032405,209
provider,2,CHILDCARE_ACCESS,stress_score_mean,theme_present,16.264901422819413,19
provider,3,CHILDCARE_ACCESS,stress_score_mean,theme_absent,19.99476283151063,200
provider,3,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.177086266958664,25
household,1,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.67233706383391,327
household,1,CHILDCARE_ACCESS,stress_score_mean,theme_present,20.67132724241571,142
household,2,CHILDCARE_ACCESS,stress_score_mean,theme_absent,21.057211759515322,310
household,2,CHILDCARE_ACCESS,stress_score_mean,theme_present,20.171421507581627,128
household,3,CHILDCARE_ACCESS,stress_score_mean,theme_absent,20.930327509906995,287
household,3,CHILDCARE_ACCESS,stress_score_mean,theme_present,19.080253598641754,112
provider,1,CHILDCARE_ACCESS,food_insecurity_rate,theme_absent,0.2602739726027397,219
