respondent_id,frame,wave,AFFORDABILITY,CHILDCARE_ACCESS,EMPLOYMENT_DISRUPTION,FOOD_INSECURITY,PROVIDER_STAFF_SHORTAGE,SCHEDULING_CONSTRAINTS,STRESS_BURNOUT,stress_score,food_insecurity,employment_disruption,provider_closure_risk,closure_risk_high
R00001,provider,2,False,False,True,False,False,False,False,19.828302478526588,0,0,1.0,0
R00002,provider,1,False,True,False,False,True,False,True,18.428339940316157,0,0,2.0,1
R00003,household,2,False,False,False,False,False,False,True,31.370726821738955,0,0,0.0,0
R00004,provider,1,False,False,False,True,False,False,True,32.14709712893729,1,0,1.0,0
R00005,household,1,False,False,False,False,False,False,False,6.293788868076982,0,0,0.0,0
R00006,provider,2,True,False,False,True,False,True,True,22.124751703236555,1,0,1.0,0
R00007,household,2,False,False,True,False,False,True,True,28.260625834494974,0,1,0.0,0
R00008,provider,3,False,False,True,False,False,True,False,18.572241165423858,0,0,1.0,0
R00009,household,1,False,False,False,False,False,True,False,19.06117387454858,0,0,0.0,0
R00010,provider,1,True,False,False,False,False,False,False,12.881736434558519,1,0,1.0,0
R00011,provider,2,False,False,False,False,True,False,False,23.27638784917697,0,0,2.0,1
R00012,household,2,True,False,True,False,False,False,True,34.22111729308914,0,0,0.0,0
R00013,household,1,False,False,True,False,False,True,True,30.400732589870497,0,0,0.0,0
R00014,household,2,False,True,True,False,False,True,False,28.486277125177256,0,1,0.0,0
R00015,household,1,False,True,True,True,False,False,False,20.805056053512274,0,1,0.0,0
R00016,household,3,False,False,False,False,False,True,False,14.731204851829187,0,0,0.0,0
R00017,household,1,True,True,True,False,False,False,False,20.212504704494993,0,1,0.0,0
R00018,provider,3,False,False,False,False,False,True,True,21.893654578973162,0,0,1.0,0
R00019,household,3,False,False,False,False,False,True,False,24.949721967459915,0,0,0.0,0
R00020,household,2,False,False,True,False,False,True,False,19.705630982741503,0,1,0.0,0
R00021,household,1,False,True,True,False,False,False,True,24.920186098507862,1,1,0.0,0
R00022,household,1,False,False,False,True,False,True,False,16.276235678181333,0,0,0.0,0
R00023,household,2,False,True,True,False,False,False,False,25.33524803204418,0,1,0.0,0
R00024,provider,1,False,False,True,False,True,False,False,17.072823107587187,0,0,2.0,1
R00025,household,1,True,False,False,True,False,False,True,20.763084429552954,0,1,0.0,0
R00026,household,3,True,False,True,True,False,False,False,15.887198697070623,1,1,0.0,0
R00027,provider,2,True,False,False,False,True,True,False,22.55003109934759,0,0,2.0,1
R00028,household,1,False,False,False,True,False,True,False,22.827375028274474,1,0,0.0,0
R00029,provider,1,False,True,False,False,False,False,False,20.47639566957593,0,0,1.0,0
R00030,provider,1,False,False,True,True,False,False,False,20.584926018047298,1,0,1.0,0
R00031,provider,3,False,False,True,False,True,False,False,30.849885605222767,1,0,2.0,1
R00032,household,3,False,False,True,False,False,True,False,17.099867698771362,0,1,0.0,0
R00033,household,2,True,False,False,True,False,False,False,14.926543625570776,1,0,0.0,0
R00034,provider,1,False,False,False,False,False,True,False,15.712316088689537,0,0,2.0,1
R00035,provider,3,True,False,True,False,False,False,False,21.695876535452975,0,0,1.0,0
R00036,provider,3,True,False,False,False,False,False,False,24.77383375632535,1,0,2.0,1
R00037,household,3,True,True,False,False,False,False,False,17.316315254070748,1,1,0.0,0
R00038,provider,2,False,False,False,False,False,False,False,12.959061138224833,0,0,1.0,0
R00039,household,1,False,False,True,False,False,False,True,19.065716951639597,0,0,0.0,0
R00040,household,3,True,True,False,False,False,False,True,30.492742412064963,0,0,0.0,0
R00041,household,3,True,True,True,True,False,False,False,22.459525027220653,1,1,0.0,0
R00042,provider,2,False,False,False,True,False,False,False,21.25892560983117,0,0,1.0,0
R00043,household,3,False,True,False,False,False,False,False,14.006941756267835,0,0,0.0,0
R00044,provider,1,True,False,True,True,False,True,False,19.949521141463478,1,0,1.0,0
R00045,household,1,False,False,False,False,False,False,False,18.70011485484437,0,0,0.0,0
R00046,household,2,True,False,False,False,False,False,False,19.31213158037408,1,0,0.0,0
R00047,household,1,False,False,False,False,False,True,False,25.0633046976667,0,0,0.0,0
R00048,household,1,False,True,True,False,False,False,True,28.33741916118685,0,1,0.0,0
R00049,household,3,False,True,True,False,False,True,False,23.89646779235493,0,1,0.0,0
R00050,provider,3,True,False,False,False,False,False,False,18.405474416933348,0,0,2.0,1
R00051,household,3,False,False,True,True,False,True,False,22.62412984866443,1,0,0.0,0
R00052,household,2,True,False,False,False,False,False,False,21.787729355031242,1,0,0.0,0
R00053,household,2,False,True,False,False,False,False,False,9.257065080866,1,0,0.0,0
R00054,provider,3,True,False,False,False,False,False,False,16.08197270185619,0,0,1.0,0
R00055,provider,2,False,False,False,False,False,False,False,15.177764074243226,1,0,1.0,0
R00056,provider,1,True,False,True,False,False,False,False,14.166732910539949,0,0,1.0,0
R00057,provider,3,False,False,False,False,True,False,False,16.349146492639896,1,0,2.0,1
R00058,provider,2,False,False,False,False,True,True,True,34.06268168767723,0,0,2.0,1
R00059,household,1,False,True,True,False,False,False,False,12.805013305840541,0,0,0.0,0
R00060,provider,2,False,False,False,False,False,False,False,23.809670127548884,0,0,1.0,0
R00061,household,1,False,False,False,False,False,True,False,10.14772059734964,0,0,0.0,0
R00062,provider,1,False,False,True,False,True,True,False,19.054198748536876,0,0,3.0,1
R00063,household,1,True,False,False,False,False,False,False,18.976518390630034,1,0,0.0,0
R00064,household,1,False,True,True,False,False,True,False,22.888926209458806,0,0,0.0,0
R00065,provider,3,False,False,False,False,True,True,False,24.44879087670749,0,0,2.0,1
R00066,provider,2,False,False,True,False,False,True,False,25.175363101465006,0,0,1.0,0
R00067,provider,1,False,False,False,True,False,False,True,25.83675093098804,1,0,1.0,0
R00068,household,2,False,False,False,False,False,True,False,17.15112668059929,0,0,0.0,0
R00069,provider,1,True,False,False,False,False,False,False,23.147855287542924,0,0,1.0,0
R00070,provider,3,False,False,False,False,False,False,False,16.85217405071031,0,0,2.0,1
R00071,household,1,False,False,False,False,False,True,False,12.12628807071371,0,0,0.0,0
R00072,household,1,False,False,True,False,False,True,False,13.04295888313065,0,1,0.0,0
R00073,household,3,False,False,False,False,False,True,False,14.322993341167312,0,0,0.0,0
R00074,provider,2,False,False,False,False,True,False,False,20.982964464322585,0,0,1.0,0
R00075,household,1,True,False,False,True,False,False,True,26.967547800409854,1,0,0.0,0
R00076,provider,3,False,False,False,False,True,False,False,22.14291212440661,0,0,3.0,1
R00077,provider,2,False,False,False,False,False,False,False,15.436484121980794,1,0,1.0,0
R00078,household,2,True,True,True,False,False,True,False,20.47032148028614,0,1,0.0,0
R00079,household,2,False,True,True,False,False,True,True,27.045882797559262,0,1,0.0,0
R00080,household,1,False,True,True,False,False,False,False,16.14392076167857,0,1,0.0,0
R00081,household,1,False,True,True,False,False,False,False,20.740651425344467,0,1,0.0,0
R00082,household,1,True,False,False,False,False,True,False,16.889061875937056,0,0,0.0,0
R00083,provider,2,True,False,False,False,False,False,False,15.821676920609569,0,0,2.0,1
R00084,household,3,False,False,True,False,False,False,True,24.026468737009495,0,1,0.0,0
R00085,household,1,False,True,False,False,False,False,False,10.824962126465762,0,1,0.0,0
R00086,household,3,False,False,False,True,False,False,False,20.92183488471349,1,0,0.0,0
R00087,household,2,False,False,True,False,False,True,False,16.365315919865196,0,1,0.0,0
R00088,provider,3,False,False,True,False,False,True,True,25.42276340823299,0,0,1.0,0
R00089,provider,3,True,False,False,False,False,False,False,20.884479953435452,0,0,1.0,0
