respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text,cleaned_text,themes
R00001,provider,2,February 2024,IL,,after_school,I am juggling second jobs because enrollment swings disrupt my own employment stability.,i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION
R00002,provider,1,January 2024,NY,,informal,"Our center closed classrooms temporarily, so neighborhood access evaporated. We are short staffed and cannot hire assistants even after months of recruiting. I am overwhelmed balancing paperwork, families, and the classroom without relief.",our center closed classrooms temporarily so neighborhood access evaporated short staffed cannot hire assistants even after months recruiting i am overwhelmed balancing paperwork families classroom without relief,CHILDCARE_ACCESS|PROVIDER_STAFF_SHORTAGE|STRESS_BURNOUT
R00003,household,2,February 2024,OH,30-60k,,I water down meals for the kids when food runs low after rent and child care. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping.,i water down meals kids when food runs low after rent child care stress juggling work caregiving overwhelming my mental health keeps slipping,STRESS_BURNOUT
R00004,provider,1,January 2024,NC,,informal,"Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out. I am overwhelmed balancing paperwork, families, and the classroom without relief.",food budgets program maxed out while families ask extra meals scheduling constraints force us close early when multiple people call out i am overwhelmed balancing paperwork families classroom without relief,FOOD_INSECURITY|STRESS_BURNOUT
R00005,household,1,January 2024,MA,<30k,,We were told staffing shortages limit the program to part-week care.,were told staffing shortages limit program part week care,
R00006,provider,2,February 2024,WA,,center,"Managing constant schedule changes with too few people is crushing my mental health. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Keeping care affordable while paying staff fairly is nearly impossible.",managing constant schedule changes too few people crushing my mental health families tell me they face food insecurity set up snack pantries classroom keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00007,household,2,February 2024,MI,30-60k,,"I miss work every time care falls through, and my employer is losing patience. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.",i miss work every time care falls through my employer losing patience my partner i exhausted constantly anxious about childcare collapsing last minute coordinating schedules my partner provider weekly puzzle rarely solve,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00008,provider,3,March 2024,GA,,center,"Assistants quit when schedules change, so my employment feels precarious too.",assistants quit when schedules change so my employment feels precarious too,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00009,household,1,January 2024,OH,60-100k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS
R00010,provider,1,January 2024,OH,,family_home,Staff and I are emotionally drained; burnout is spreading across the team. Operating costs skyrocket but families cannot absorb more tuition.,staff i emotionally drained burnout spreading across team operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY
R00011,provider,2,February 2024,MA,,family_home,"No substitutes are available, so I cover multiple classrooms daily.",no substitutes available so i cover multiple classrooms daily,PROVIDER_STAFF_SHORTAGE
