respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text
R00001,provider,2,February 2024,IL,,after_school,I am juggling second jobs because enrollment swings disrupt my own employment stability.
R00002,provider,1,January 2024,NY,,informal,"Our center closed classrooms temporarily, so neighborhood access evaporated. We are short staffed and cannot hire assistants even after months of recruiting. I am overwhelmed balancing paperwork, families, and the classroom without relief."
R00003,household,2,February 2024,OH,30-60k,,I water down meals for the kids when food runs low after rent and child care. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping.
R00004,provider,1,January 2024,NC,,informal,"Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out. I am overwhelmed balancing paperwork, families, and the classroom without relief."
R00005,household,1,January 2024,MA,<30k,,We were told staffing shortages limit the program to part-week care.
R00006,provider,2,February 2024,WA,,center,"Managing constant schedule changes with too few people is crushing my mental health. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Keeping care affordable while paying staff fairly is nearly impossible."
R00007,household,2,February 2024,MI,30-60k,,"I miss work every time care falls through, and my employer is losing patience. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve."
R00008,provider,3,March 2024,GA,,center,"Assistants quit when schedules change, so my employment feels precarious too."
R00009,household,1,January 2024,OH,60-100k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.
R00010,provider,1,January 2024,OH,,family_home,Staff and I are emotionally drained; burnout is spreading across the team. Operating costs skyrocket but families cannot absorb more tuition.
R00011,provider,2,February 2024,MA,,family_home,"No substitutes are available, so I cover multiple classrooms daily."
R00012,household,2,February 2024,AZ,30-60k,,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work."
R00013,household,1,January 2024,WA,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps."
R00014,household,2,February 2024,OH,60-100k,,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00015,household,1,January 2024,AZ,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks."
R00016,household,3,March 2024,CA,30-60k,,My hours were cut after too many schedule changes driven by childcare gaps. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.
R00017,household,1,January 2024,FL,>100k,,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking."
R00018,provider,3,March 2024,IL,,center,Managing constant schedule changes with too few people is crushing my mental health.
R00019,household,3,March 2024,NJ,30-60k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.
R00020,household,2,February 2024,PA,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps."
R00021,household,1,January 2024,NJ,<30k,,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible."
R00022,household,1,January 2024,CA,<30k,,"Food insecurity is creeping back—we rely on the pantry between paychecks. Weekend work is non-negotiable, but there is no evening care anywhere nearby."
R00023,household,2,February 2024,FL,>100k,,"No slots open when my shifts change, so reliable childcare access feels impossible."
R00024,provider,1,January 2024,AZ,,family_home,"Coordinating staggered shifts with limited staff feels impossible. No substitutes are available, so I cover multiple classrooms daily. I field calls daily from parents desperate for openings we just do not have."
R00025,household,1,January 2024,MI,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We stretch groceries and sometimes skip meals so tuition can stay current."
R00026,household,3,March 2024,FL,<30k,,"I miss work every time care falls through, and my employer is losing patience. Tuition and fees are too expensive; every increase means cutting groceries."
R00027,provider,2,February 2024,TX,,center,"We are short staffed and cannot hire assistants even after months of recruiting. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Affordability pressures mean delays in payments and tighter margins for the program."
R00028,household,1,January 2024,PA,60-100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Food insecurity is creeping back—we rely on the pantry between paychecks. We were told staffing shortages limit the program to part-week care."
R00029,provider,1,January 2024,CO,,center,"Our center closed classrooms temporarily, so neighborhood access evaporated."
R00030,provider,1,January 2024,TX,,informal,"Coordinating staggered shifts with limited staff feels impossible. Families tell me they face food insecurity, and we set up snack pantries in the classroom. I am juggling second jobs because enrollment swings disrupt my own employment stability."
R00031,provider,3,March 2024,GA,,center,We are short staffed and cannot hire assistants even after months of recruiting. I am juggling second jobs because enrollment swings disrupt my own employment stability.
R00032,household,3,March 2024,AL,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00033,household,2,February 2024,NC,>100k,,We stretch groceries and sometimes skip meals so tuition can stay current.
R00034,provider,1,January 2024,FL,,family_home,"Staff and I are emotionally drained; burnout is spreading across the team. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Families want more slots than we can offer; access breaks down when staff call out."
R00035,provider,3,March 2024,CA,,family_home,Scheduling constraints force us to close early when multiple people call out. Keeping care affordable while paying staff fairly is nearly impossible. I am juggling second jobs because enrollment swings disrupt my own employment stability.
R00036,provider,3,March 2024,PA,,center,Keeping care affordable while paying staff fairly is nearly impossible.
R00037,household,3,March 2024,FL,30-60k,,We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.
R00038,provider,2,February 2024,AL,,family_home,"Staff juggle multiple jobs, and every disruption ripples through coverage."
R00039,household,1,January 2024,NY,>100k,,"Employment keeps getting disrupted when I have to leave early for pickups. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00040,household,3,March 2024,NC,<30k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed."
R00041,household,3,March 2024,NC,>100k,,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries."
R00042,provider,2,February 2024,CT,,center,Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out.
R00043,household,3,March 2024,PA,30-60k,,We have been on a childcare waitlist for months after our center closed.
R00044,provider,1,January 2024,FL,,center,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too."
R00045,household,1,January 2024,NY,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours."
R00046,household,2,February 2024,NJ,30-60k,,I water down meals for the kids when food runs low after rent and child care. We were told staffing shortages limit the program to part-week care. We cannot afford reliable care when costs rise faster than wages.
R00047,household,1,January 2024,TX,<30k,,My hours were cut after too many schedule changes driven by childcare gaps.
R00048,household,1,January 2024,AL,30-60k,,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible."
R00049,household,3,March 2024,PA,>100k,,"I water down meals for the kids when food runs low after rent and child care. Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible."
R00050,provider,3,March 2024,CA,,family_home,Keeping care affordable while paying staff fairly is nearly impossible.
R00051,household,3,March 2024,OH,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. Food insecurity is creeping back—we rely on the pantry between paychecks."
R00052,household,2,February 2024,NC,30-60k,,We cannot afford reliable care when costs rise faster than wages.
R00053,household,2,February 2024,GA,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking."
R00054,provider,3,March 2024,PA,,center,I field calls daily from parents desperate for openings we just do not have. Affordability pressures mean delays in payments and tighter margins for the program.
R00055,provider,2,February 2024,MI,,family_home,I field calls daily from parents desperate for openings we just do not have. Staff and I are emotionally drained; burnout is spreading across the team.
R00056,provider,1,January 2024,MA,,center,Scheduling constraints force us to close early when multiple people call out. Affordability pressures mean delays in payments and tighter margins for the program. I am juggling second jobs because enrollment swings disrupt my own employment stability.
R00057,provider,3,March 2024,CA,,after_school,"No substitutes are available, so I cover multiple classrooms daily."
R00058,provider,2,February 2024,WA,,after_school,"We are short staffed and cannot hire assistants even after months of recruiting. Managing constant schedule changes with too few people is crushing my mental health. I see children coming in hungry, and our program scrambles to cover snacks."
R00059,household,1,January 2024,MI,30-60k,,"Finding after-school care is a battle every semester, and options keep shrinking. Employment keeps getting disrupted when I have to leave early for pickups."
R00060,provider,2,February 2024,MA,,family_home,Scheduling constraints force us to close early when multiple people call out.
R00061,household,1,January 2024,NY,60-100k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.
R00062,provider,1,January 2024,NJ,,center,"Scheduling constraints force us to close early when multiple people call out. Assistants quit when schedules change, so my employment feels precarious too. No substitutes are available, so I cover multiple classrooms daily."
R00063,household,1,January 2024,WA,>100k,,We cannot afford reliable care when costs rise faster than wages.
R00064,household,1,January 2024,NY,30-60k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. My hours were cut after too many schedule changes driven by childcare gaps. No slots open when my shifts change, so reliable childcare access feels impossible."
R00065,provider,3,March 2024,PA,,center,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I see children coming in hungry, and our program scrambles to cover snacks. No substitutes are available, so I cover multiple classrooms daily."
R00066,provider,2,February 2024,AL,,family_home,"Families want more slots than we can offer; access breaks down when staff call out. Assistants quit when schedules change, so my employment feels precarious too. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff."
R00067,provider,1,January 2024,NY,,center,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. Open positions stay vacant, forcing us to cap enrollment and reduce hours. I am overwhelmed balancing paperwork, families, and the classroom without relief."
R00068,household,2,February 2024,WA,60-100k,,My hours were cut after too many schedule changes driven by childcare gaps.
R00069,provider,1,January 2024,PA,,center,Operating costs skyrocket but families cannot absorb more tuition.
R00070,provider,3,March 2024,CO,,after_school,"Staff juggle multiple jobs, and every disruption ripples through coverage."
R00071,household,1,January 2024,CA,60-100k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.
R00072,household,1,January 2024,PA,<30k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. We were told staffing shortages limit the program to part-week care. Employment keeps getting disrupted when I have to leave early for pickups.
R00073,household,3,March 2024,IL,<30k,,My hours were cut after too many schedule changes driven by childcare gaps.
R00074,provider,2,February 2024,NC,,after_school,Staff and I are emotionally drained; burnout is spreading across the team. We are short staffed and cannot hire assistants even after months of recruiting.
R00075,household,1,January 2024,NY,>100k,,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. Tuition and fees are too expensive; every increase means cutting groceries."
R00076,provider,3,March 2024,GA,,center,We are short staffed and cannot hire assistants even after months of recruiting.
R00077,provider,2,February 2024,IL,,informal,"Staff juggle multiple jobs, and every disruption ripples through coverage."
R00078,household,2,February 2024,CT,30-60k,,"We cannot afford reliable care when costs rise faster than wages. No slots open when my shifts change, so reliable childcare access feels impossible. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve."
R00079,household,2,February 2024,MA,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00080,household,1,January 2024,OH,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. We were told staffing shortages limit the program to part-week care."
R00081,household,1,January 2024,NC,<30k,,"No slots open when my shifts change, so reliable childcare access feels impossible."
R00082,household,1,January 2024,CO,30-60k,,We cannot afford reliable care when costs rise faster than wages. My hours were cut after too many schedule changes driven by childcare gaps.
R00083,provider,2,February 2024,FL,,informal,"I see children coming in hungry, and our program scrambles to cover snacks. Affordability pressures mean delays in payments and tighter margins for the program."
R00084,household,3,March 2024,MA,60-100k,,We were told staffing shortages limit the program to part-week care. I feel burned out every week trying to cover shifts and still be a present parent.
R00085,household,1,January 2024,OH,30-60k,,"We have been on a childcare waitlist for months after our center closed. Our center says classrooms merge because of staff shortages, leaving fewer hours."
R00086,household,3,March 2024,PA,<30k,,Food insecurity is creeping back—we rely on the pantry between paychecks.
